mpa	D015097
vpa	D014635
li	D008094
des	D004054
fan	C060802
estradiolandtestosteroneesters	C032109
tetrahydropyranyladriamycinol	C027260
hyaluronate	D006820
gem	C056507
desipraminehcl	D003891
2chloroprocainece	C004616
ee	D004997
lhrha	D016729
dfu	C106876
desarg10hoe140	C078665
3h5azadeoxycytidine	C014347
tinctureofcrataegus	C007145
quaternaryammonium	D000644
sulfonylureas	D013453
oligodeoxynucleotide	D009838
opcompound	D009943
mtx	D008727
angiotensinconvertingenzymeaceinhibitor	D000806
ribonucleicacid	D012313
bisphosphonate	D004164
cbz	D002220
trifluoroacetyl	D014269
tri	D014299
mflregimen	C085788
bpopll	CHEBI:59297
ato	C065179
asa	D001241
vnb	C030852
methscopolamine	D019832
ax	D000658
organophosphorusoppoisons	D009943
angiotensionii	D000804
5243fluorobenzylidenepiperidin1ylethyl44fluorophenylthiazole2carboxamide	C121249
dfo	D003676
heroine	D003932
gspe	C511402
grapeseedextract	C511402
uricacidsalts	D014527+D012492
ifn	C417083
ppa	D010665
sestamibi	D017256
phosphorylcreatine	D010725
ssri	D017367
vincristin	D014750
kynurenine	D007737
92methoxy4methylsulphonylaminophenylaminon5dimethyl4acridinecarboxamide	C042315
ptx	D010852
tc99msestamibi	D017256
dex	D003907
actomycind	D003609
erythromycins	D004917
udca	D014580
contrastmedium	D003287
40tetrahydropyranyladriamycin	C027260
licl	D018021
alphamethyltyrosine	D019805
ifx	D007069
5hydroxytriptamine	D012701
caa	C004656
npyrimidinyl2phenoxyacetamides	D010642
aminoacid	D000596
alanine	D000409
3htbob	C046308
sodiumpentothal	D013874
cephalosporin	D002511
34methylenedioxymethamphetamine	D018817
pan	D011692
vpu	C108761
anthracycline	D018943
acei	D000806
cannabis	D002188
3alphatropyl2pbromophenylpropionate	C087567
ops	D010755
bzds	D001569
sulfonylurea	D013453
gammacarboxylated	D015055
3hlarginine	D001120
phophorylcreatine	D010725
hcfcs123and124	C067411|C072959
nucleoside	D009705
4diphenylacetoxynmethylpiperidine	C042375
pchlorophenylalamine	D010134
ifosfamidevincristineanddactinomycin	C064227
levofloxacin	D064704
aponidinehydrochloride	C016986
1bromo1chloro222trifluoroethane	D006221
betalactam	D047090
gvg	D020888
zdv	D015215
mfl	C085788
5htp	D006916
cacl2	D002122
avp	D001127
tac	D016559
heparansulphate	D006497
5hydroxytryptophan	D006916
tcr	C007145
fluoroacetate	D005463
slimonene	C008281
2pam	D011220
smoking	D012906
methylxanthines	C008514
statins	D019821
kcl	C522374
lalphagfc	D005997
be	C005618
op	D010755
ginsenoside	D036145
5hydroxytryptamin1a	D012701
h	D006859
alphat	D024502
azt	D015215
gsh	D005978
55dimethyl33fluorophenyl44methylsulphonylphenyl25hfuranon	C106876
